property_id,check_in_date,room_category,successful_bookings,capacity
16559,2022-05-01,RT1,25,30
19562,2022-05-01,RT1,28,30
19563,2022-05-01,RT1,23,30
17558,2022-05-01,RT1,13,19
16558,2022-05-01,RT1,18,19
17560,2022-05-01,RT1,28,40
19558,2022-05-01,RT1,25,40
19560,2022-05-01,RT1,23,26
17561,2022-05-01,RT1,22,26
16560,2022-05-01,RT1,24,34
16561,2022-05-01,RT1,16,18
16562,2022-05-01,RT1,20,31
16563,2022-05-01,RT1,36,41
17559,2022-05-01,RT1,26,32
17562,2022-05-01,RT1,12,20
17563,2022-05-01,RT1,21,25
18558,2022-05-01,RT1,11,15
18559,2022-05-01,RT1,29,42
18561,2022-05-01,RT1,31,33
18562,2022-05-01,RT1,34,38
18563,2022-05-01,RT1,18,27
19559,2022-05-01,RT1,18,24
19561,2022-05-01,RT1,25,36
17564,2022-05-01,RT1,9,16
19562,2022-05-01,RT2,23,23
18563,2022-05-01,RT2,21,29
17561,2022-05-01,RT2,32,36
17558,2022-05-01,RT2,38,50
16562,2022-05-01,RT2,30,43
16561,2022-05-01,RT2,24,24
16558,2022-05-01,RT2,21,22
19560,2022-05-01,RT2,37,38
16563,2022-05-01,RT2,37,38
16559,2022-05-01,RT2,35,41
19559,2022-05-01,RT2,32,41
19558,2022-05-01,RT2,25,39
17559,2022-05-01,RT2,34,39
16560,2022-05-01,RT2,25,34
18562,2022-05-01,RT2,33,34
18559,2022-05-01,RT2,29,44
17563,2022-05-01,RT2,40,44
17562,2022-05-01,RT2,19,30
18558,2022-05-01,RT2,21,30
17564,2022-05-01,RT2,25,40
18561,2022-05-01,RT2,35,40
18560,2022-05-01,RT2,34,40
17560,2022-05-01,RT2,31,45
19561,2022-05-01,RT2,35,45
19563,2022-05-01,RT2,36,45
19563,2022-05-01,RT3,20,29
18560,2022-05-01,RT1,27,30
19562,2022-05-01,RT3,25,29
19561,2022-05-01,RT3,23,29
18562,2022-05-01,RT3,28,29
17558,2022-05-01,RT3,21,27
17562,2022-05-01,RT3,15,27
19559,2022-05-01,RT3,19,27
16559,2022-05-01,RT3,27,32
17560,2022-05-01,RT3,19,25
18561,2022-05-01,RT3,23,25
16561,2022-05-01,RT3,21,21
16563,2022-05-01,RT3,17,20
17561,2022-05-01,RT3,16,19
18558,2022-05-01,RT3,18,26
18560,2022-05-01,RT3,21,24
18563,2022-05-01,RT3,16,23
19560,2022-05-01,RT3,16,19
17564,2022-05-01,RT3,16,24
16560,2022-05-01,RT3,15,20
16558,2022-05-01,RT3,8,8
19558,2022-05-01,RT3,13,21
16562,2022-05-01,RT3,14,18
17559,2022-05-01,RT3,14,16
17563,2022-05-01,RT3,14,16
18559,2022-05-01,RT3,14,23
19559,2022-05-01,RT4,2,3
16562,2022-05-01,RT4,4,6
17558,2022-05-01,RT4,4,6
17562,2022-05-01,RT4,4,6
19563,2022-05-01,RT4,4,6
19558,2022-05-01,RT4,4,7
19561,2022-05-01,RT4,5,7
16560,2022-05-01,RT4,6,7
16561,2022-05-01,RT4,9,10
17560,2022-05-01,RT4,10,13
18561,2022-05-01,RT4,8,9
17564,2022-05-01,RT4,9,17
18560,2022-05-01,RT4,14,15
19560,2022-05-01,RT4,15,16
18559,2022-05-01,RT4,11,19
17563,2022-05-01,RT4,17,19
19562,2022-05-01,RT4,13,14
17559,2022-05-01,RT4,13,14
18558,2022-05-01,RT4,14,20
18562,2022-05-01,RT4,19,20
18563,2022-05-01,RT4,13,18
16563,2022-05-01,RT4,17,18
16559,2022-05-01,RT4,17,18
17561,2022-05-01,RT4,3,4
16558,2022-05-01,RT4,3,3
16559,2022-05-02,RT1,20,30
18560,2022-05-02,RT1,21,30
19562,2022-05-02,RT1,20,30
19563,2022-05-02,RT1,14,30
17558,2022-05-02,RT1,10,19
16558,2022-05-02,RT1,12,19
17560,2022-05-02,RT1,22,40
19558,2022-05-02,RT1,16,40
19560,2022-05-02,RT1,14,26
17561,2022-05-02,RT1,15,26
16560,2022-05-02,RT1,17,34
16561,2022-05-02,RT1,11,18
16562,2022-05-02,RT1,17,31
16563,2022-05-02,RT1,25,41
17559,2022-05-02,RT1,20,32
17562,2022-05-02,RT1,9,20
17563,2022-05-02,RT1,15,25
18558,2022-05-02,RT1,8,15
18559,2022-05-02,RT1,17,42
18561,2022-05-02,RT1,24,33
18562,2022-05-02,RT1,22,38
18563,2022-05-02,RT1,14,27
19559,2022-05-02,RT1,13,24
19561,2022-05-02,RT1,20,36
17564,2022-05-02,RT1,7,16
19562,2022-05-02,RT2,15,23
18563,2022-05-02,RT2,15,29
17561,2022-05-02,RT2,23,36
17558,2022-05-02,RT2,27,50
16562,2022-05-02,RT2,21,43
16561,2022-05-02,RT2,16,24
16558,2022-05-02,RT2,14,22
19560,2022-05-02,RT2,21,38
16563,2022-05-02,RT2,23,38
16559,2022-05-02,RT2,23,41
19559,2022-05-02,RT2,19,41
19558,2022-05-02,RT2,17,39
17559,2022-05-02,RT2,26,39
16560,2022-05-02,RT2,17,34
18562,2022-05-02,RT2,17,34
18559,2022-05-02,RT2,18,44
17563,2022-05-02,RT2,28,44
17562,2022-05-02,RT2,14,30
18558,2022-05-02,RT2,14,30
17564,2022-05-02,RT2,16,40
18561,2022-05-02,RT2,25,40
18560,2022-05-02,RT2,26,40
17560,2022-05-02,RT2,23,45
19561,2022-05-02,RT2,22,45
19563,2022-05-02,RT2,20,45
19563,2022-05-02,RT3,14,29
19562,2022-05-02,RT3,18,29
19561,2022-05-02,RT3,17,29
18562,2022-05-02,RT3,18,29
17558,2022-05-02,RT3,12,27
17562,2022-05-02,RT3,12,27
19559,2022-05-02,RT3,14,27
16559,2022-05-02,RT3,20,32
16558,2022-05-02,RT3,5,8
18561,2022-05-02,RT3,18,25
18558,2022-05-02,RT3,15,26
16561,2022-05-02,RT3,13,21
16563,2022-05-02,RT3,13,20
17560,2022-05-02,RT3,13,25
18560,2022-05-02,RT3,14,24
17559,2022-05-02,RT3,9,16
17563,2022-05-02,RT3,9,16
18559,2022-05-02,RT3,9,23
19558,2022-05-02,RT3,9,21
17564,2022-05-02,RT3,9,24
16560,2022-05-02,RT3,10,20
17561,2022-05-02,RT3,10,19
16562,2022-05-02,RT3,11,18
18563,2022-05-02,RT3,11,23
19560,2022-05-02,RT3,11,19
19559,2022-05-02,RT4,2,3
16558,2022-05-02,RT4,2,3
17558,2022-05-02,RT4,4,6
19563,2022-05-02,RT4,4,6
19558,2022-05-02,RT4,4,7
19561,2022-05-02,RT4,4,7
18561,2022-05-02,RT4,5,9
16561,2022-05-02,RT4,6,10
17560,2022-05-02,RT4,6,13
17564,2022-05-02,RT4,6,17
18560,2022-05-02,RT4,11,15
19560,2022-05-02,RT4,11,16
18559,2022-05-02,RT4,9,19
17563,2022-05-02,RT4,12,19
19562,2022-05-02,RT4,8,14
17559,2022-05-02,RT4,8,14
18558,2022-05-02,RT4,10,20
18562,2022-05-02,RT4,12,20
18563,2022-05-02,RT4,11,18
16563,2022-05-02,RT4,12,18
16559,2022-05-02,RT4,12,18
16562,2022-05-02,RT4,3,6
17562,2022-05-02,RT4,3,6
16560,2022-05-02,RT4,3,7
17561,2022-05-02,RT4,3,4
19563,2022-05-03,RT3,15,29
16559,2022-05-03,RT1,17,30
18560,2022-05-03,RT1,19,30
19562,2022-05-03,RT1,19,30
19563,2022-05-03,RT1,15,30
17558,2022-05-03,RT1,9,19
16558,2022-05-03,RT1,14,19
17560,2022-05-03,RT1,19,40
19558,2022-05-03,RT1,20,40
19560,2022-05-03,RT1,14,26
17561,2022-05-03,RT1,16,26
16560,2022-05-03,RT1,19,34
16561,2022-05-03,RT1,10,18
16562,2022-05-03,RT1,14,31
16563,2022-05-03,RT1,25,41
17559,2022-05-03,RT1,20,32
17562,2022-05-03,RT1,10,20
17563,2022-05-03,RT1,16,25
18558,2022-05-03,RT1,8,15
18559,2022-05-03,RT1,18,42
18561,2022-05-03,RT1,19,33
18562,2022-05-03,RT1,23,38
18563,2022-05-03,RT1,13,27
19559,2022-05-03,RT1,12,24
19561,2022-05-03,RT1,20,36
17564,2022-05-03,RT1,6,16
19562,2022-05-03,RT2,14,23
18563,2022-05-03,RT2,14,29
17561,2022-05-03,RT2,23,36
17558,2022-05-03,RT2,26,50
16562,2022-05-03,RT2,19,43
16561,2022-05-03,RT2,16,24
16558,2022-05-03,RT2,14,22
19560,2022-05-03,RT2,25,38
16563,2022-05-03,RT2,24,38
16559,2022-05-03,RT2,26,41
19559,2022-05-03,RT2,22,41
19558,2022-05-03,RT2,16,39
17559,2022-05-03,RT2,24,39
16560,2022-05-03,RT2,16,34
18562,2022-05-03,RT2,22,34
18559,2022-05-03,RT2,19,44
17563,2022-05-03,RT2,30,44
17562,2022-05-03,RT2,15,30
18558,2022-05-03,RT2,16,30
17564,2022-05-03,RT2,16,40
18561,2022-05-03,RT2,25,40
18560,2022-05-03,RT2,25,40
17560,2022-05-03,RT2,22,45
19561,2022-05-03,RT2,21,45
19563,2022-05-03,RT2,23,45
19562,2022-05-03,RT3,18,29
19561,2022-05-03,RT3,14,29
18562,2022-05-03,RT3,17,29
17558,2022-05-03,RT3,15,27
17562,2022-05-03,RT3,12,27
19559,2022-05-03,RT3,14,27
16559,2022-05-03,RT3,21,32
16558,2022-05-03,RT3,5,8
18561,2022-05-03,RT3,15,25
18560,2022-05-03,RT3,15,24
16562,2022-05-03,RT3,8,18
16561,2022-05-03,RT3,13,21
16563,2022-05-03,RT3,13,20
18558,2022-05-03,RT3,13,26
18559,2022-05-03,RT3,9,23
19558,2022-05-03,RT3,9,21
16560,2022-05-03,RT3,10,20
17559,2022-05-03,RT3,10,16
17563,2022-05-03,RT3,10,16
17561,2022-05-03,RT3,12,19
19560,2022-05-03,RT3,12,19
17560,2022-05-03,RT3,11,25
18563,2022-05-03,RT3,11,23
17564,2022-05-03,RT3,11,24
17562,2022-05-03,RT4,2,6
16558,2022-05-03,RT4,2,3
19563,2022-05-03,RT4,4,6
19561,2022-05-03,RT4,4,7
18561,2022-05-03,RT4,5,9
16561,2022-05-03,RT4,7,10
17560,2022-05-03,RT4,7,13
19559,2022-05-03,RT4,1,3
17564,2022-05-03,RT4,7,17
18560,2022-05-03,RT4,9,15
19560,2022-05-03,RT4,10,16
18559,2022-05-03,RT4,9,19
17563,2022-05-03,RT4,11,19
19562,2022-05-03,RT4,9,14
17559,2022-05-03,RT4,10,14
18558,2022-05-03,RT4,10,20
18562,2022-05-03,RT4,12,20
18563,2022-05-03,RT4,8,18
16563,2022-05-03,RT4,11,18
16559,2022-05-03,RT4,11,18
16562,2022-05-03,RT4,3,6
17558,2022-05-03,RT4,3,6
16560,2022-05-03,RT4,3,7
19558,2022-05-03,RT4,3,7
17561,2022-05-03,RT4,3,4
19563,2022-05-04,RT3,15,29
18560,2022-05-04,RT1,20,30
19562,2022-05-04,RT1,17,30
19563,2022-05-04,RT1,14,30
17558,2022-05-04,RT1,9,19
16558,2022-05-04,RT1,13,19
17560,2022-05-04,RT1,22,40
19558,2022-05-04,RT1,15,40
19560,2022-05-04,RT1,16,26
17561,2022-05-04,RT1,15,26
16560,2022-05-04,RT1,17,34
16561,2022-05-04,RT1,11,18
16562,2022-05-04,RT1,16,31
16563,2022-05-04,RT1,28,41
17559,2022-05-04,RT1,19,32
17562,2022-05-04,RT1,9,20
17563,2022-05-04,RT1,16,25
18558,2022-05-04,RT1,7,15
18559,2022-05-04,RT1,18,42
18561,2022-05-04,RT1,22,33
18562,2022-05-04,RT1,25,38
18563,2022-05-04,RT1,16,27
19559,2022-05-04,RT1,12,24
19561,2022-05-04,RT1,16,36
17564,2022-05-04,RT1,7,16
19562,2022-05-04,RT2,14,23
18563,2022-05-04,RT2,16,29
17561,2022-05-04,RT2,21,36
17558,2022-05-04,RT2,27,50
16562,2022-05-04,RT2,21,43
16561,2022-05-04,RT2,15,24
16558,2022-05-04,RT2,14,22
19560,2022-05-04,RT2,21,38
16563,2022-05-04,RT2,23,38
16559,2022-05-04,RT2,28,41
19559,2022-05-04,RT2,22,41
19558,2022-05-04,RT2,18,39
17559,2022-05-04,RT2,23,39
16560,2022-05-04,RT2,20,34
18562,2022-05-04,RT2,22,34
18559,2022-05-04,RT2,19,44
17563,2022-05-04,RT2,29,44
17562,2022-05-04,RT2,11,30
18558,2022-05-04,RT2,16,30
17564,2022-05-04,RT2,18,40
18561,2022-05-04,RT2,25,40
18560,2022-05-04,RT2,28,40
17560,2022-05-04,RT2,20,45
19561,2022-05-04,RT2,21,45
19563,2022-05-04,RT2,20,45
16559,2022-05-04,RT1,21,30
19562,2022-05-04,RT3,20,29
19561,2022-05-04,RT3,13,29
18562,2022-05-04,RT3,16,29
17558,2022-05-04,RT3,12,27
17562,2022-05-04,RT3,9,27
19559,2022-05-04,RT3,14,27
16559,2022-05-04,RT3,19,32
16558,2022-05-04,RT3,6,8
18561,2022-05-04,RT3,16,25
18560,2022-05-04,RT3,17,24
17563,2022-05-04,RT3,8,16
17564,2022-05-04,RT3,8,24
16561,2022-05-04,RT3,14,21
17560,2022-05-04,RT3,14,25
18558,2022-05-04,RT3,14,26
19558,2022-05-04,RT3,9,21
16560,2022-05-04,RT3,10,20
17561,2022-05-04,RT3,10,19
18559,2022-05-04,RT3,10,23
16563,2022-05-04,RT3,12,20
17559,2022-05-04,RT3,12,16
16562,2022-05-04,RT3,11,18
18563,2022-05-04,RT3,11,23
19560,2022-05-04,RT3,11,19
17562,2022-05-04,RT4,2,6
19559,2022-05-04,RT4,2,3
16558,2022-05-04,RT4,2,3
18561,2022-05-04,RT4,4,9
16561,2022-05-04,RT4,5,10
17560,2022-05-04,RT4,6,13
17564,2022-05-04,RT4,9,17
18560,2022-05-04,RT4,10,15
19560,2022-05-04,RT4,11,16
18559,2022-05-04,RT4,8,19
17563,2022-05-04,RT4,11,19
19562,2022-05-04,RT4,8,14
17559,2022-05-04,RT4,9,14
18558,2022-05-04,RT4,11,20
18562,2022-05-04,RT4,12,20
18563,2022-05-04,RT4,8,18
16563,2022-05-04,RT4,12,18
16559,2022-05-04,RT4,11,18
16562,2022-05-04,RT4,3,6
17558,2022-05-04,RT4,3,6
19563,2022-05-04,RT4,3,6
16560,2022-05-04,RT4,3,7
19558,2022-05-04,RT4,3,7
19561,2022-05-04,RT4,3,7
17561,2022-05-04,RT4,3,4
16559,2022-05-05,RT1,16,30
18560,2022-05-05,RT1,15,30
19562,2022-05-05,RT1,19,30
19563,2022-05-05,RT1,14,30
17558,2022-05-05,RT1,10,19
16558,2022-05-05,RT1,12,19
17560,2022-05-05,RT1,20,40
19558,2022-05-05,RT1,18,40
19560,2022-05-05,RT1,18,26
17561,2022-05-05,RT1,15,26
16560,2022-05-05,RT1,17,34
16561,2022-05-05,RT1,13,18
16562,2022-05-05,RT1,15,31
16563,2022-05-05,RT1,30,41
